Social_Morph	sample	Wing_Morph	phenotype
monogyne	2_Q_S_A_S2	aptere	monogyne_aptere
monogyne	6_Q_S_A_S6	aptere	monogyne_aptere
monogyne	C132R1	aptere	monogyne_aptere
monogyne	C171R13	aptere	monogyne_aptere
monogyne	C177R1	aptere	monogyne_aptere
monogyne	13_Q_A_S12	winged	monogyne_winged
monogyne	14_Q_A_S13	winged	monogyne_winged
monogyne	15_Q_A_S14	winged	monogyne_winged
monogyne	16_Q_A_S15	winged	monogyne_winged
monogyne	17_Q_A_S16	winged	monogyne_winged
monogyne	18_Q_A_S17	winged	monogyne_winged
monogyne	19_Q_A_S18	winged	monogyne_winged
monogyne	20_Q_A_S19	winged	monogyne_winged
monogyne	21_Q_A_S20	winged	monogyne_winged
monogyne	22_Q_A_S21	winged	monogyne_winged
monogyne	23_Q_A_S22	winged	monogyne_winged
monogyne	C122R1	winged	monogyne_winged
monogyne	C124R1	winged	monogyne_winged
monogyne	C135R1	winged	monogyne_winged
monogyne	C137R1	winged	monogyne_winged
monogyne	C143R1	winged	monogyne_winged
monogyne	C144R1	winged	monogyne_winged
monogyne	C146R1	winged	monogyne_winged
monogyne	C147R1	winged	monogyne_winged
monogyne	C153R1	winged	monogyne_winged
monogyne	C15R1	winged	monogyne_winged
monogyne	C170R1	winged	monogyne_winged
monogyne	C176R1	winged	monogyne_winged
monogyne	C17R1	winged	monogyne_winged
monogyne	C180R12	winged	monogyne_winged
monogyne	C181R6	winged	monogyne_winged
monogyne	C36R1	winged	monogyne_winged
monogyne	C42R7	winged	monogyne_winged
monogyne	C47R1	winged	monogyne_winged
monogyne	C48R1	winged	monogyne_winged
monogyne	C52R1	winged	monogyne_winged
monogyne	C54R1	winged	monogyne_winged
monogyne	C5R1	winged	monogyne_winged
monogyne	C73R1	winged	monogyne_winged
monogyne	C78R11	winged	monogyne_winged
monogyne	C81R10	winged	monogyne_winged
monogyne	C85R1	winged	monogyne_winged
monogyne	C87R1	winged	monogyne_winged
monogyne	C93R1	winged	monogyne_winged
monogyne	C9R1	winged	monogyne_winged
polygyne	10_Q_S_A_S9	aptere	Polygyne_aptere
polygyne	12_Q_S_A_S11	aptere	polygyne_aptere
polygyne	1_Q_S_A_S1	aptere	polygyne_aptere
polygyne	26_Q_A_S23	aptere	polygyne_aptere
polygyne	3_Q_S_A_S3	aptere	polygyne_aptere
polygyne	4_Q_S_A_S4	aptere	polygyne_aptere
polygyne	5_Q_S_A_S5	aptere	polygyne_aptere
polygyne	7_Q_S_A_S7	aptere	polygyne_aptere
polygyne	8_Q_S_A_S8	aptere	polygyne_aptere
polygyne	C11R1	aptere	polygyne_aptere
polygyne	C12R1	aptere	polygyne_aptere
polygyne	C14R1	aptere	polygyne_aptere
polygyne	C150R1	aptere	polygyne_aptere
polygyne	C163R4	aptere	polygyne_aptere
polygyne	C166R2	aptere	polygyne_aptere
polygyne	C16R1	aptere	polygyne_aptere
polygyne	C175R1	aptere	polygyne_aptere
polygyne	C183R1	aptere	polygyne_aptere
polygyne	C45R1	aptere	polygyne_aptere
polygyne	C45R2	aptere	polygyne_aptere
polygyne	C51R1	aptere	polygyne_aptere
polygyne	C76R2	aptere	polygyne_aptere
polygyne	C8R1	aptere	polygyne_aptere
